delta,alpha_-20.0deg,alpha_-19.0deg,alpha_-18.0deg,alpha_-17.0deg,alpha_-16.0deg,alpha_-15.0deg,alpha_-14.0deg,alpha_-13.0deg,alpha_-12.0deg,alpha_-11.0deg,alpha_-10.0deg,alpha_-9.0deg,alpha_-8.0deg,alpha_-7.0deg,alpha_-6.0deg,alpha_-5.0deg,alpha_-4.0deg,alpha_-3.0deg,alpha_-2.0deg,alpha_-1.0deg,alpha_0.0deg,alpha_1.0deg,alpha_2.0deg,alpha_3.0deg,alpha_4.0deg,alpha_5.0deg,alpha_6.0deg,alpha_7.0deg,alpha_8.0deg,alpha_9.0deg,alpha_10.0deg,alpha_11.0deg,alpha_12.0deg,alpha_13.0deg,alpha_14.0deg,alpha_15.0deg,alpha_16.0deg,alpha_17.0deg,alpha_18.0deg,alpha_19.0deg,alpha_20.0deg
-0.1,0.3290972974605118,0.3185234039798736,0.3076629654652846,0.2965122250516498,0.2851110575386756,0.2735791778528943,0.26224055911327565,0.25120071185579423,0.23866663522453993,0.2305456945040639,0.13092265443580453,0.06250217040274646,0.0497969942704303,0.041861929370302746,0.0358216150075132,0.03132389976495934,0.028023333994580124,0.025525690806660263,0.023512080743882585,0.021786386852760197,0.020207161925132344,0.018624449812336418,0.01694086620178985,0.0151368580136424,0.013706313946480411,0.012590207302671855,0.010150410813856585,0.012646927250015408,0.015030380305222706,0.016115220873787507,0.016514422817091635,0.01662660639808183,0.016735840068859392,0.018839828354313862,0.021418197736485994,0.0233269841711284,0.026363535494283268,0.03047513317566255,0.03549205890095162,0.041531689398381755,0.048908219361201544
-0.09000000000000001,0.317216712488656,0.3073338932574285,0.29722790795892046,0.28680993687506967,0.2760378774567801,0.26502052041990515,0.2541006142686529,0.24283715396395797,0.2301447948707538,0.21214367084025337,0.07829735237578846,0.05304617176260372,0.04382373650344491,0.037019789985736656,0.0317678302196501,0.027835651056298514,0.024871720765827773,0.02254651906228574,0.02063263500901931,0.01898357946322913,0.017459978101911845,0.015952847156405055,0.014413965298572294,0.012947798668717194,0.01197908978201769,0.009889809471350007,0.010216213019975285,0.012836793833320688,0.014147477319517696,0.014630068375104385,0.014806166698904426,0.01487381249239269,0.01549662009845904,0.018298564282735522,0.019957248094495905,0.022067386680698214,0.025548706617099282,0.03043529592848952,0.03657439728516113,0.043975206134058455,0.053001019206744424
-0.08,0.3054772659067508,0.29585443477127055,0.2860008953592353,0.27593671928666236,0.2656625150993363,0.2552498747807256,0.24481733284557733,0.2329662104826988,0.22290137947063096,0.14208531120766488,0.05874430938581009,0.046181152746128155,0.03864644229434701,0.03274714166709896,0.028204466769810598,0.024751987957218786,0.022064084997111596,0.019896241873268203,0.018093741286824755,0.016531009705661112,0.015098892634144236,0.013750788858672109,0.01240298457951712,0.011378500805529946,0.010334002651443658,0.008410545187653433,0.010883070644594523,0.012446173542354812,0.013028718327996604,0.013224984865179553,0.013333045810266737,0.01351442000462514,0.015169615697995794,0.01755378007158523,0.01912373423202345,0.02169041641115254,0.025878851717169925,0.03178497551712018,0.03915256902444939,0.048003233619727505,0.058888016502196584
-0.07,0.2940997248875241,0.28463404475241133,0.2750625456675016,0.2652631358109083,0.2551640156134298,0.2449504689656085,0.2343358124463838,0.2209177934322679,0.20466047164122078,0.07029476841103512,0.04805649524838419,0.03982484284404748,0.03358427407387315,0.02864300555811373,0.02484078957920049,0.02187355945288288,0.019484878341528015,0.01751477374660452,0.015853764915431078,0.014414862488570216,0.01316490883648154,0.012011453120162508,0.010979560646742116,0.010239677477314057,0.00793385942122191,0.009131987163328973,0.01092970572079409,0.011646578639399045,0.011871029234764732,0.011990107193937382,0.012151598605107495,0.012811504713539503,0.015327036179802798,0.017160114622021796,0.019126774840826297,0.022398632247131175,0.02762018595925438,0.03476019503212477,0.043342871195573694,0.05345786066554713,0.06550596524296931
-0.060000000000000005,0.283525382964697,0.2739278335036936,0.2642090272120062,0.2543150500347797,0.24424274153547357,0.23403442749040582,0.22246474844219377,0.2093795532721496,0.1368028551324309,0.05268341437399492,0.041711581155462925,0.03501658897494006,0.029641803505350835,0.025412114442462327,0.022117420308466335,0.01948587139465519,0.017332543856373735,0.015542757458878226,0.01403629803015174,0.012781861931694229,0.011731260831157785,0.010722605200123659,0.009970854697880852,0.008799965640743963,0.0076795746722703685,0.00952162991330355,0.01035946972759473,0.010641105949171803,0.010771665832302208,0.010976344434789115,0.011352592404304591,0.012970488850907702,0.015497983431467148,0.01732973860515196,0.019844795877600078,0.02392899856257524,0.030131261606742885,0.03788529072726441,0.046675370463840134,0.05704164722995119,0.06960939881113486
-0.05,0.27343401580835974,0.2637654882237008,0.25389125373001414,0.24376058674897552,0.23340627374932918,0.2225734431787005,0.20842948121025845,0.19108747718431632,0.06370531082991146,0.04300967909091417,0.035708685122307585,0.030145225720537062,0.025709754203370315,0.02223998055733487,0.019462788739530352,0.017191636639684288,0.015311101379327136,0.013747411750742731,0.012475957334679426,0.011469467642651351,0.010557497215178943,0.009783394024274096,0.00913685104825301,0.006971815619631591,0.008243220010707684,0.00916503307238946,0.009537234033629617,0.009724557641196365,0.009974676349603256,0.010382175423084266,0.01130643663561634,0.013805827389610536,0.016076261830499032,0.018210012628812274,0.021213239811059707,0.025853710479485943,0.032280105900208474,0.03999575267372143,0.04928762512783423,0.06089828708243136,0.0749744177196208
-0.04000000000000001,0.2634905892435561,0.2536855128988387,0.2435701449266345,0.23308933341323657,0.22224972356352748,0.21019901071607278,0.19429501432521076,0.13467003177130568,0.047341850142449814,0.036947530632432286,0.030910637558264672,0.026160679478431245,0.02244819716779445,0.019544219473908133,0.01719081531986611,0.015227535614221199,0.013590282688095855,0.012262958813774616,0.011236130145151735,0.010386001802568993,0.009602444759774686,0.00903844028663901,0.007634815983590405,0.007165649520871098,0.008112587332067132,0.00857510427972037,0.008844516008322935,0.009135197843990339,0.009590951582977444,0.010281355058508425,0.012062960051575288,0.014682687654293224,0.016687063529591224,0.01890499929001544,0.02220892409136267,0.027408575625353926,0.03447061133618864,0.04326251926154656,0.05421513590119138,0.06781945020488309,0.08368883442496099
-0.03,0.2535549625667487,0.2436294412273356,0.2332790099028106,0.2224349181102537,0.21088022307991683,0.19616479245025925,0.17609832013878168,0.06120760134020679,0.03834572063670414,0.031273151343604255,0.02603827134991742,0.02206442902950083,0.01913605936914929,0.01681745385673505,0.014920679312061797,0.013343117033482716,0.012031203909281184,0.010990045413383439,0.010162872422295768,0.009411830581698182,0.008857087216593031,0.008270615233730762,0.006494493657841011,0.007289596446144652,0.007798702386737522,0.008112542002190047,0.008406495325958406,0.008846141025374248,0.009484971261269032,0.010672219172200771,0.013036728638420942,0.01537095409745878,0.017402417866261684,0.020149552309592603,0.024477284306966527,0.03080898354540122,0.039032691495817805,0.049322722055500895,0.062071746201946866,0.07741669603332815,0.09434172028745035
-0.020000000000000004,0.2433305286749095,0.23313249624175103,0.22241284871619943,0.21109224012054034,0.19860050364524842,0.1816220283514089,0.13999610477789576,0.044645348890652435,0.03297157516990001,0.02708080108180435,0.02261766124400706,0.019201406799432538,0.016495980944454924,0.014527126818667599,0.012974259460503432,0.011722891436171,0.010741333084454352,0.009947913627852766,0.009209718806840576,0.008630026514006146,0.008245781876980577,0.006814644704830147,0.006663429925990685,0.007165312762262488,0.007465007722027716,0.007766884547603575,0.008209692768146412,0.008859574521527537,0.009810671340495786,0.011748697264685718,0.014323543986092903,0.0165918402313231,0.019133221551986754,0.022806059445688608,0.02822427146335776,0.035628488474266015,0.04516423260391225,0.057156933755546216,0.07175467573892927,0.0886594174918664,0.10635455111824364
-0.010000000000000009,0.23280577809280525,0.2222511339167124,0.21110717281791516,0.19926472301164805,0.18558933926065582,0.16732033367767019,0.07875552093864327,0.036658468117880524,0.02889696033196175,0.02413195230219237,0.020312165425208452,0.017023675055822973,0.014470199705095879,0.012639097937045752,0.01133426910749095,0.01034397381308662,0.009585764950812467,0.00895354108699657,0.008395389664951434,0.008012875003393918,0.007498612893901847,0.0062401813235347285,0.006686504435411022,0.0070384572322065905,0.007428569292493747,0.007934026619984364,0.008617213773676049,0.009513050117566502,0.011103877187783742,0.013563233733106209,0.016187198970971567,0.018715026602486372,0.021996159673618572,0.02665063909714921,0.03313707156577875,0.041790708894355724,0.052943350269363115,0.0667730948167228,0.08305194279249381,0.10102807476051148,0.11890772261465404
